price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
5840000.0,"Vanagaram, Chennai - West, Tamil Nadu",1061.0,13.060923,80.143536,2.0,2.0,,Under Construction,New Property,,,3.0,,Flat,"


                                ""Less is more"" said a famous design guru. And beign design buffs we wouldn't want to disagree with him. So here's a ready reckoner with the most important aspects of GRAND CORRIDOR, RWD's opus that's coming up in the heart of West Chennai.Read on and whet your appetite for more. Sample this for location  Bang in the heart of West Chennai, right there on Poonamallee High Road, Grand Corridor has the luxury of Civic and social amenities that border on the unbelievable. On this arterial highway that connects Madras Medical College and Maduravoyal Junction, we have set aside 3.82 acres of land to construct 3 towers, each with 14 floors totalling 356 apartments.
                            
more

",5504.241281809614
54200000.0,"Cenotaph Road, Chennai - Central, Tamil Nadu",2713.0,13.0320242,80.2458311,4.0,4.0,,Ready to Move,New Property,1.0,Unfurnished,2.0,,Flat,"


                                Presenting a Limited Collection of Residences at One of Chennai's Most Sought after Address - 3, Cenotaph Road! Skyline, Security SophisticationSuying Design Singapore brought you the famous house on Mt Sinai. Now they bring you 'The Goodwood Residence offering an equally ecliptic architectural experience. The elegant vertical architectural lines will blow you away along with stunning traditional courtyards. Each morning you awaken to gorgeous views and skyline views you thought could only exist in dreams.
                            
more

",19977.884260965722
7470000.0,"Vanagaram, Chennai - West, Tamil Nadu",1359.0,13.060923,80.143536,3.0,2.0,,Under Construction,New Property,,,3.0,,Flat,"


                                ""Less is more"" said a famous design guru. And beign design buffs we wouldn't want to disagree with him. So here's a ready reckoner with the most important aspects of GRAND CORRIDOR, RWD's opus that's coming up in the heart of West Chennai.Read on and whet your appetite for more. Sample this for location  Bang in the heart of West Chennai, right there on Poonamallee High Road, Grand Corridor has the luxury of Civic and social amenities that border on the unbelievable. On this arterial highway that connects Madras Medical College and Maduravoyal Junction, we have set aside 3.82 acres of land to construct 3 towers, each with 14 floors totalling 356 apartments.
                            
more

",5496.688741721854
7530000.0,"G S T Road, Chennai - South, Tamil Nadu",1390.0,12.902132,80.093946,2.0,2.0,,Under Construction,New Property,1.0,,4.0,,Flat,"
                    
                    
                    
                       Shriram Park 63 by Shriram Properties is an integrated township located opposite to Perungalathur Railway Station, Chennai. These residential apartments come in different configurations overlooking lush 1500 acres of greenery.
                    
                ",5417.26618705036
8290000.000000001,"Tambaram, Chennai - South, Tamil Nadu",975.0,12.925863,80.152222,2.0,2.0,,Ready to Move,New Property,1.0,Unfurnished,,,Flat,"


                                Committed to the mission of placing your priorities on the forefront, Nest builders bring out the best in high quality living. Nest Cultures is a venture that ushers in the promise of excellent and prominent locality that it is based in - Sembakkam. Well-crafted homes that are surefire ways to secure an investment, Cultures truly safeguards your hopes of living in a briskly developing urban locality. The quaint neighbourhood houses well connected roads, ample bus connectivity and is at close quarters to the Tambaram railway station, which makes your travel a whiz. Nest Cultures is strategically situated close to Sholinganallur IT corridor and the MEPZ in Tambaram.Nest Cultures becomes a smart choice in terms of investment for obvious reasons of rapid value appreciation. The locality owes it to factors like the presence of supermarkets, eateries, schools, parks and recreational centres in close proximity. Thus, Nest Cultures presents to you social convenience at its best.
                            
more

",8502.564102564103
11800000.0,"Saligramam, Chennai - Central, Tamil Nadu",1028.0,13.0533405,80.2012805,2.0,2.0,,Under Construction,New Property,,,,,Flat,"


                                Located at the heart of the city in Saligramam, Vaanam Construction's Summer Garden is a dream project for customers looking for a peaceful residence within city limits. Being engineered by internationally renowned architects, the project is inspiring in design, stirring in luxury and enveloped by a nature centric environment. With the goal of delivering a luxurious and finely crafted project, Vaanam Construction has come up with an urban chic lifestyle project in Summer Garden. The project has 34 exclusively designed apartments equipped with all luxury fittings. Amenities like a gym, rain water harvesting, CCTV cameras are all available in the project. Many renowned scholls, colleges and hospitals are available within a walking distance from the project. All this in a budget that you can afford or invest for good returns.
                            
more

",11478.599221789884
55000000.0,"East Coast Road, Chennai - South, Tamil Nadu",5765.0,12.847039,80.23883,5.0,5.0,4.0,Ready to Move,New Property,2.0,Unfurnished,,,Individual House,"


                                The MYANS LUXURY VILLAS along the scenic ECR are set in 9 acres of land out of the total 27 acres of land of MAYAJAAL. These Villas are ideally built for dreamers people who would love to dream of having all the luxuries in the world within walking distance. The luxuries of walking across to Movies, Food courts, Games, Shopping, Clubbing, Spa, Swimming, beach, etc. Right from Tennis courts to Cricket Nets anything you think of you is available in this lovely project.
                            
more

",9540.329575021682
29900000.000000004,"Guindy, Chennai - South, Tamil Nadu",1890.0,13.000415,80.213289,3.0,3.0,,Ready to Move,New Property,1.0,,2.0,,Flat,"


                                Guindy in Chennai, is one of the 10 most prime investment destinations in India. Overlooking the Guindy Race Course, and situated near the Guindy National Park. This means, your life at Purva Somerset House also unlocks your world to beautiful forests, and a wide variety of flora and fauna. And is yet, in close proximity to city centres like Velachery, the metro station, the Airport, IT Parks, malls, educational institutions, hotels and hospitals. In short, an address that befits your true stature. Where even the air around you is fresh and good for you. Now that's luxury living.
                            
more

",15820.105820105822
165000000.0,"Anna Salai, Chennai - Central, Tamil Nadu",6600.0,13.065209,80.266832,5.0,3.0,,Ready to Move,New Property,1.0,Unfurnished,,,Flat,"
                    
                    
                    
                       Spurred by the success of the Express Avenue Mall brand under her illustrious leadership she is now building another iconic masterpiece, E Residences which is located just adjacent to Express Avenue.
                    
                ",25000.0
6440000.000000001,"Semmancheri, Chennai - South, Tamil Nadu",1171.0,12.875617,80.226435,2.0,2.0,,Ready to Move,New Property,,Unfurnished,,,Flat,"


                                Splendour situated at Semmencherry, an address that is brimming with opluence, glamour and the finest lifestyle indulgences. A home that offers comfort and spacious interiors. Beautiful outdoor spaces for adults, kids and elders to relax and enjoy the perfectly calm surrounding. This project is designed with the best qualities and features.This project presents beautiful homes built for absolute comfort and to make your life much more convenient. This project has mini mall named SUPERIT which has everything that a family needs right next to the property. Superit mainly consist of a food court which will have different types of restaurants. Superit also consist of other amenities like supermarket, pharmacy, Salon & spa, Fun city for kids, Gift shop and most importantly an ATM.Splendour gives you heights of happiness. Own yourself the magnificent one right in OMR. Let life unfurl in all its splendour.
                            
more

",5499.5730145175075
7680000.0,"Nerkundram, Chennai - West, Tamil Nadu",1182.0,13.0706033,80.186917,2.0,2.0,,Under Construction,New Property,,,2.0,,Flat,"


                                An enhanced lifestyle in a luxury apartment located in the green areas is not a far away dream! It comes to you in the form of Marutham Neptune at Nerkundram (Near Koyambedu). Marutham Neptune comprises of two building blocks with 120 units spread over of 1.88 acres with Premium Amenities. Marutham Neptune has 2,2.5,3 and 4 BHKs in stilt+5 floors with covered car parking.
                            
more

",6497.46192893401
6590000.000000001,"Manapakkam, Chennai - West, Tamil Nadu",1243.0,13.0167775,80.1771746,2.0,2.0,,Under Construction,New Property,,,,,Flat,"


                                TVS Emerald presents, Peninsula at Manapakkam. Spread across 6 acres with only 392 apartments, with all corner units! Spacious apartments with three side ventilation lush green homes.TVS Emerald Peninsula located in the heart of city close to IT Parks, schools and hospitals.TVS Emerald Peninsula offers World-class amenities like organic garden, aroma garden, reading pods, hammocks
                            
more

",5301.689460981497
5480000.0,"Porur, Chennai - West, Tamil Nadu",1275.0,13.018204,80.133066,3.0,3.0,,Ready to Move,New Property,1.0,,1.0,,Flat,"
                    
                    
                    
                       Anandham is located at Periyapanichery,Porur. Kundrathur main road to Mangadu main road. With close proximity to PSBB school and Sri Ramachandra Medical College.
                    
                ",4298.0392156862745
